family	upstream_symbol	upstream_signature	header_path_line	feature_gate	overload_disposition	go_symbol	go_signature	input_unit	output_unit	result_shape	count_meaning	destination_precondition	alias_contract	scalar_source	amd64_source	arm64_source	test_source	fuzz_source	benchmark_source	status	milestone	exclusion_reason
Transcoding/length	simdutf::convert_utf8_to_utf16_with_errors	result (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1311	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16WithErrors	func ConvertUTF8ToUTF16WithErrors(input []byte, dst []uint16) Result	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1311; native-endian delegate to simdutf::convert_utf8_to_utf16le_with_errors or simdutf::convert_utf8_to_utf16be_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp	not_applicable: no convert_utf8_to_utf16_with_errors occurrence under fuzz at pinned tree	not_applicable: no convert_utf8_to_utf16_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf16le_with_errors	result (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1346	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16LEWithErrors	func ConvertUTF8ToUTF16LEWithErrors(input []byte, dst []uint16) Result	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/helpers/compiletime_conversions.h	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF16LEWithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf16be_with_errors	result (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1381	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF8ToUTF16BEWithErrors	func ConvertUTF8ToUTF16BEWithErrors(input []byte, dst []uint16) Result	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/helpers/compiletime_conversions.h	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF16BEWithErrors)	not_applicable: no convert_utf8_to_utf16be_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf32	size_t (const char *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:1416	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF8ToUTF32	func ConvertUTF8ToUTF32(input []byte, dst []uint32) int	bytes ([]byte)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf8_to_utf32_tests.cpp;tests/convert_utf8_to_utf32_with_errors_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp;tests/straight_c_test.c	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF32)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf8_to_utf32_with_errors	result (const char *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:1450	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertUTF8ToUTF32WithErrors	func ConvertUTF8ToUTF32WithErrors(input []byte, dst []uint32) Result	bytes ([]byte)	UTF-32 code units ([]uint32)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf8_to_utf32_with_errors_tests.cpp;tests/simdutf_c_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF8ToUTF32WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf8_to_latin1	size_t (const char *, size_t, char *) noexcept	include/simdutf/implementation.h:1492	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	ConvertValidUTF8ToLatin1	func ConvertValidUTF8ToLatin1(input []byte, dst []byte) int	bytes ([]byte)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf8_to_latin1_tests.cpp;tests/null_safety_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF8ToLatin1)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf8_to_utf16	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1525	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF8ToUTF16	func ConvertValidUTF8ToUTF16(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1525; native-endian delegate to simdutf::convert_valid_utf8_to_utf16le or simdutf::convert_valid_utf8_to_utf16be	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_valid_utf8_to_utf16be_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf8_to_utf16le	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1556	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF8ToUTF16LE	func ConvertValidUTF8ToUTF16LE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF8ToUTF16LE)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf8_to_utf16be	size_t (const char *, size_t, char16_t *) noexcept	include/simdutf/implementation.h:1588	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertValidUTF8ToUTF16BE	func ConvertValidUTF8ToUTF16BE(input []byte, dst []uint16) int	bytes ([]byte)	UTF-16 code units ([]uint16; LE/BE names are raw storage)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf8_to_utf16be_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF8ToUTF16BE)	not_applicable: no convert_valid_utf8_to_utf16be occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_valid_utf8_to_utf32	size_t (const char *, size_t, char32_t *) noexcept	include/simdutf/implementation.h:1621	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	ConvertValidUTF8ToUTF32	func ConvertValidUTF8ToUTF32(input []byte, dst []uint32) int	bytes ([]byte)	UTF-32 code units ([]uint32)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_valid_utf8_to_utf32_tests.cpp;tests/null_safety_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertValidUTF8ToUTF32)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::utf8_length_from_latin1	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:1652	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	UTF8LengthFromLatin1	func UTF8LengthFromLatin1(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/latin1.h;include/simdutf/scalar/latin1_to_utf8/latin1_to_utf8.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_latin1_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/safe_conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF8LengthFromLatin1)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::latin1_length_from_utf8	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:1685	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF8	mapped one-to-one	Latin1LengthFromUTF8	func Latin1LengthFromUTF8(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf8_to_latin1_tests.cpp;tests/convert_utf8_to_latin1_with_errors_tests.cpp;tests/convert_valid_utf8_to_latin1_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for Latin1LengthFromUTF8)	not_applicable: no latin1_length_from_utf8 occurrence under benchmarks at pinned tree	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::utf16_length_from_utf8	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:1721	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	UTF16LengthFromUTF8	func UTF16LengthFromUTF8(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/scalar/utf8.h;src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf8_to_utf16be_tests.cpp;tests/convert_utf8_to_utf16be_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_utf8_to_utf16le_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf16be_tests.cpp;tests/convert_valid_utf8_to_utf16le_tests.cpp;tests/helpers/compiletime_conversions.h;tests/nostdlibcxx_c_api_test.c;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF16LengthFromUTF8)	benchmarks/alignment.cpp;benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp;benchmarks/threaded.cpp	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::utf32_length_from_utf8	size_t (const char *, size_t) noexcept	include/simdutf/implementation.h:1759	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF32	mapped one-to-one	UTF32LengthFromUTF8	func UTF32LengthFromUTF8(input []byte) int	bytes ([]byte)	none	int	required/maximum output code units or bytes named by the operation	not_applicable	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/basic_fuzzer.cpp;tests/convert_utf8_to_utf32_tests.cpp;tests/convert_utf8_to_utf32_with_errors_tests.cpp;tests/convert_valid_utf8_to_utf32_tests.cpp;tests/null_safety_tests.cpp;tests/random_fuzzer.cpp;tests/simdutf_c_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for UTF32LengthFromUTF8)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp	implemented	611becc-current-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:1797	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToUTF8	func ConvertUTF16ToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1797; native-endian delegate to simdutf::convert_utf16le_to_utf8 or simdutf::convert_utf16be_to_utf8	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/convert_utf16_to_utf8_safe_tests.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16be_to_utf8_tests.cpp;tests/convert_utf16le_to_utf8_tests.cpp;tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/helpers/test.cpp;tests/simdutf_c_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp;tests/straight_c_test.c	fuzz/safe_conversion.cpp	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_utf8_safe	size_t (const char16_t *, size_t, char *, size_t) noexcept	include/simdutf/implementation.h:1836	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToUTF8Safe	func ConvertUTF16ToUTF8Safe(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	bounded: writes as many complete output units as fit and returns written count; 0 when conversion is impossible	no overlap guarantee beyond pinned declaration; nil slice is empty input	not_applicable: no convert_utf16_to_utf8_safe occurrence under src/fallback or include/simdutf/scalar at pinned tree	not_applicable: no convert_utf16_to_utf8_safe occurrence under src/westmere or src/haswell at pinned tree	not_applicable: no convert_utf16_to_utf8_safe occurrence under src/arm64 at pinned tree	tests/CMakeLists.txt;tests/convert_utf16_to_utf8_safe_tests.cpp;tests/simdutf_c_tests.cpp;tests/straight_c_test.c	fuzz/safe_conversion.cpp	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:1889	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToLatin1	func ConvertUTF16ToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:1889; native-endian delegate to simdutf::convert_utf16le_to_latin1 or simdutf::convert_utf16be_to_latin1	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf16le_to_latin1_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/span_tests.cpp	not_applicable: no convert_utf16_to_latin1 occurrence under fuzz at pinned tree	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:1926	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16LEToLatin1	func ConvertUTF16LEToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf16le_to_latin1_tests.cpp;tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/random_fuzzer.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToLatin1)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_latin1	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:1961	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16BEToLatin1	func ConvertUTF16BEToLatin1(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/convert_utf16be_to_latin1_tests.cpp;tests/convert_utf16be_to_latin1_tests_with_errors.cpp;tests/random_fuzzer.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToLatin1)	benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:1998	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16LEToUTF8	func ConvertUTF16LEToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/basic_fuzzer.cpp;tests/bele_tests.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16le_to_utf8_tests.cpp;tests/convert_utf16le_to_utf8_with_errors_tests.cpp;tests/convert_utf8_to_utf16le_tests.cpp;tests/convert_valid_utf16le_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/installation_tests/find/CMakeLists.txt;tests/installation_tests/from_fetch/CMakeLists.txt;tests/nostdlibcxx_c_api_test.c;tests/random_fuzzer.cpp;tests/readme_tests.cpp;tests/span_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToUTF8)	benchmarks/shortbench.cpp;benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h;benchmarks/stream.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16be_to_utf8	size_t (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2034	SIMDUTF_FEATURE_UTF8 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16BEToUTF8	func ConvertUTF16BEToUTF8(input []uint16, dst []byte) int	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	int	number of output code units/bytes written	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/CMakeLists.txt;tests/bele_tests.cpp;tests/convert_utf16_to_utf8_with_replacement_tests.cpp;tests/convert_utf16be_to_utf8_tests.cpp;tests/convert_utf16be_to_utf8_with_errors_tests.cpp;tests/convert_valid_utf16be_to_utf8_tests.cpp;tests/helpers/compiletime_conversions.h;tests/random_fuzzer.cpp;tests/span_tests.cpp;tests/special_tests.cpp	fuzz/conversion.cpp;fuzz/roundtrip.cpp;fuzz/with_replacement.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16BEToUTF8)	benchmarks/shortbench.cpp	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16_to_latin1_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2074	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16ToLatin1WithErrors	func ConvertUTF16ToLatin1WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	include/simdutf/implementation.h:2074; native-endian delegate to simdutf::convert_utf16le_to_latin1_with_errors or simdutf::convert_utf16be_to_latin1_with_errors	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	not_applicable: native wrapper delegates to the explicit UTF16LE/UTF16BE ISA row; no duplicate native assembly symbol	tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/span_tests.cpp	not_applicable: no convert_utf16_to_latin1_with_errors occurrence under fuzz at pinned tree	not_applicable: no convert_utf16_to_latin1_with_errors occurrence under benchmarks at pinned tree	planned	future-upstream-api	not_applicable
Transcoding/length	simdutf::convert_utf16le_to_latin1_with_errors	result (const char16_t *, size_t, char *) noexcept	include/simdutf/implementation.h:2110	SIMDUTF_FEATURE_LATIN1 && SIMDUTF_FEATURE_UTF16	mapped one-to-one	ConvertUTF16LEToLatin1WithErrors	func ConvertUTF16LEToLatin1WithErrors(input []uint16, dst []byte) Result	UTF-16 code units ([]uint16; LE/BE names are raw storage)	bytes ([]byte)	Result	Count is output code units on success and input error position on failure	caller supplies destination sized by the corresponding pinned length helper; Go wrapper panics stably before out-of-bounds store	no overlap guarantee beyond pinned declaration; nil slice is empty input	src/fallback/implementation.cpp	src/haswell/implementation.cpp;src/westmere/implementation.cpp	src/arm64/implementation.cpp	tests/convert_utf16le_to_latin1_tests_with_errors.cpp;tests/span_tests.cpp	fuzz/conversion.cpp;fuzz_transcoding_length_test.go (planned direct scalar-differential target for ConvertUTF16LEToLatin1WithErrors)	benchmarks/src/benchmark.cpp;benchmarks/src/benchmark.h	planned	future-upstream-api	not_applicable
