mapping_version	consumer_row_key_v1	consumer_manifest_ordinal	consumer_go_symbol	dependency_kind	owner_kind	owner_logical_id	owner_go_symbol_or_empty	evidence_anchor
v1	rk-v1-a13de744839582c7f284e5864c6f618984ab85a03e2455e8875d03cec8484a48	58	ConvertValidUTF16LEToLatin1	shared_kernel_delegate	cell	cell-v1-a3a2e2b087e7d3559640c927b7010dfe52ec9f32fe5971cf045106f3691cf11f	ConvertUTF16LEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1926;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_latin1.cpp
v1	rk-v1-dbd9fd31ba0eb336979e8e9e2c8839825c5c1f0c6c00ea5190088330d5fc92a5	59	ConvertValidUTF16BEToLatin1	shared_kernel_delegate	cell	cell-v1-d03a2b223e25d40e95bba2646ba5b9f62a7bd999d9c655da614f69719c9ebe87	ConvertUTF16BEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1961;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_latin1.cpp
v1	rk-v1-dbd9fd31ba0eb336979e8e9e2c8839825c5c1f0c6c00ea5190088330d5fc92a5	59	ConvertValidUTF16BEToLatin1	shared_kernel_delegate	cell	cell-v1-892904a7909bf9aa7006f1a1b467581a24f7092054bdabc840fbd9e8bce5c92a	ConvertUTF16BEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1961;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_latin1.cpp
v1	rk-v1-dbd9fd31ba0eb336979e8e9e2c8839825c5c1f0c6c00ea5190088330d5fc92a5	59	ConvertValidUTF16BEToLatin1	shared_kernel_delegate	cell	cell-v1-8500838ba90b4adabba6a51135ef9da02a7274bf035fa9f53308add082095747	ConvertUTF16BEToLatin1	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-dbd9fd31ba0eb336979e8e9e2c8839825c5c1f0c6c00ea5190088330d5fc92a5	59	ConvertValidUTF16BEToLatin1	shared_kernel_delegate	cell	cell-v1-143d7b4e7c9f2c6f635bbaa486c4d69ecb09dd8bd7924042893032e7891b8d12	ConvertUTF16BEToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1961;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_latin1.cpp
v1	rk-v1-1211805a257b93b00263fe359a9cdf055ad6097b0ef8a63b9f9e9a8060cb0179	60	ConvertValidUTF16LEToUTF8	shared_kernel_delegate	cell	cell-v1-2fdfe86498e6a32cd63be550fd6cfaff8b9c4ff930571a05dc2cc7be73257cb9	ConvertUTF16LEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1998;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf8.cpp
v1	rk-v1-1211805a257b93b00263fe359a9cdf055ad6097b0ef8a63b9f9e9a8060cb0179	60	ConvertValidUTF16LEToUTF8	shared_kernel_delegate	cell	cell-v1-2aa70d9f214ea94eab56603b116fbd2f38ffa76959b93d0b512ea24d104c3ac0	ConvertUTF16LEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1998;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf8.cpp
v1	rk-v1-1211805a257b93b00263fe359a9cdf055ad6097b0ef8a63b9f9e9a8060cb0179	60	ConvertValidUTF16LEToUTF8	shared_kernel_delegate	cell	cell-v1-c6c082c43083abff01e21002804e1e551e92f7c52611e0697e4b1430375b2042	ConvertUTF16LEToUTF8	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-1211805a257b93b00263fe359a9cdf055ad6097b0ef8a63b9f9e9a8060cb0179	60	ConvertValidUTF16LEToUTF8	shared_kernel_delegate	cell	cell-v1-bbbf2470b60a53f3252412f4d24c7f534b0e19fbfd4f9b3d3ebf6fe3832001b1	ConvertUTF16LEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:1998;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf8.cpp
v1	rk-v1-01735559de15f2f81f7d1effc6851ba55aee8c06790b1df30575f5825c1601c4	61	ConvertValidUTF16BEToUTF8	shared_kernel_delegate	cell	cell-v1-4b0374059940dabd9f6a1b7dbe4a2f6dfaa9412d776a8c8b1eea331bb8e4037e	ConvertUTF16BEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2034;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf8.cpp
v1	rk-v1-01735559de15f2f81f7d1effc6851ba55aee8c06790b1df30575f5825c1601c4	61	ConvertValidUTF16BEToUTF8	shared_kernel_delegate	cell	cell-v1-7c877c7efb425bf5fc53b89de2fe42b7814e461da493058c437ec7af0ff2431d	ConvertUTF16BEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2034;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf8.cpp
v1	rk-v1-01735559de15f2f81f7d1effc6851ba55aee8c06790b1df30575f5825c1601c4	61	ConvertValidUTF16BEToUTF8	shared_kernel_delegate	cell	cell-v1-a65f3dafb2fc0f4833ce955d079df161abe424dcc867350a51eb212355283a58	ConvertUTF16BEToUTF8	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-01735559de15f2f81f7d1effc6851ba55aee8c06790b1df30575f5825c1601c4	61	ConvertValidUTF16BEToUTF8	shared_kernel_delegate	cell	cell-v1-c3567f92198f3a7cd07c6adcc85ae3c4f86840293011129c5220f7202d7a27a1	ConvertUTF16BEToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2034;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf8.cpp
v1	rk-v1-ec655bcfd08595a7a60bfd02af08afb112474b15a8098727095ee04e1ac42e10	62	ConvertUTF16ToUTF32	wrapper_delegate	row	rk-v1-369041d2cf922f9ef88a5c4a0bef41dabc2be2507ad63169986230e12f2e158f	ConvertUTF16BEToUTF32	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:63;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639
v1	rk-v1-ec655bcfd08595a7a60bfd02af08afb112474b15a8098727095ee04e1ac42e10	62	ConvertUTF16ToUTF32	wrapper_delegate	row	rk-v1-f2e6443ad52b9661747b23258c618d7ec64519039488f30ffbbbbba837330342	ConvertUTF16LEToUTF32	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:63;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2639
v1	rk-v1-f2e6443ad52b9661747b23258c618d7ec64519039488f30ffbbbbba837330342	63	ConvertUTF16LEToUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:64;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673
v1	rk-v1-369041d2cf922f9ef88a5c4a0bef41dabc2be2507ad63169986230e12f2e158f	64	ConvertUTF16BEToUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:65;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706
v1	rk-v1-048e7d8109499ec70cd42f927cb40931c0f20e33358a385c3203b6705ff6e989	65	ConvertUTF16ToUTF32WithErrors	wrapper_delegate	row	rk-v1-8a66f79068e809a3a1037f8934bfa37ddd8f855cd45f185ee7d9c929f26ca259	ConvertUTF16BEToUTF32WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:66;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742
v1	rk-v1-048e7d8109499ec70cd42f927cb40931c0f20e33358a385c3203b6705ff6e989	65	ConvertUTF16ToUTF32WithErrors	wrapper_delegate	row	rk-v1-cf9a0dcde5bae92fccdc4f0d22f03784375c4b1e76b7c06dc1cf70539beebcaf	ConvertUTF16LEToUTF32WithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:66;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2742
v1	rk-v1-cf9a0dcde5bae92fccdc4f0d22f03784375c4b1e76b7c06dc1cf70539beebcaf	66	ConvertUTF16LEToUTF32WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:67;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2777
v1	rk-v1-8a66f79068e809a3a1037f8934bfa37ddd8f855cd45f185ee7d9c929f26ca259	67	ConvertUTF16BEToUTF32WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:68;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2813
v1	rk-v1-6256cafae53900dfb04b86155b0a0c459f7ab335db48d7dacccad4863003a229	68	ConvertValidUTF16ToUTF32	wrapper_delegate	row	rk-v1-2e157559f20c8ef2c8a5527d31057710628639d8b067f35f4b5faf10eb13d281	ConvertValidUTF16BEToUTF32	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:69;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2847
v1	rk-v1-6256cafae53900dfb04b86155b0a0c459f7ab335db48d7dacccad4863003a229	68	ConvertValidUTF16ToUTF32	wrapper_delegate	row	rk-v1-fd9c4f4ecc93a66ed2037ed394e8f6185abf782ee61961da4a8439017613d3c3	ConvertValidUTF16LEToUTF32	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:69;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2847
v1	rk-v1-fd9c4f4ecc93a66ed2037ed394e8f6185abf782ee61961da4a8439017613d3c3	69	ConvertValidUTF16LEToUTF32	shared_kernel_delegate	cell	cell-v1-10e54865cd9bafa934e88bd924666caf563823defacf660c8e7719ceae906ee4	ConvertUTF16LEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-fd9c4f4ecc93a66ed2037ed394e8f6185abf782ee61961da4a8439017613d3c3	69	ConvertValidUTF16LEToUTF32	shared_kernel_delegate	cell	cell-v1-7bdce3f8f0abeb1555ca577203e060f6eb914fbe54da8e471c3f34baff65d87e	ConvertUTF16LEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-fd9c4f4ecc93a66ed2037ed394e8f6185abf782ee61961da4a8439017613d3c3	69	ConvertValidUTF16LEToUTF32	shared_kernel_delegate	cell	cell-v1-11f0feffe0ac827a494b00cb40213f4c986d2de0ef34a2787a159d4e53dab773	ConvertUTF16LEToUTF32	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-fd9c4f4ecc93a66ed2037ed394e8f6185abf782ee61961da4a8439017613d3c3	69	ConvertValidUTF16LEToUTF32	shared_kernel_delegate	cell	cell-v1-5ee2eb7dfe98b9df9345142fb516a6849be408d517bb35007c3baf43c9e8417e	ConvertUTF16LEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2673;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-2e157559f20c8ef2c8a5527d31057710628639d8b067f35f4b5faf10eb13d281	70	ConvertValidUTF16BEToUTF32	shared_kernel_delegate	cell	cell-v1-85f55947001092311c47ebb6255fc994162ddaa2552887e4e086db8b49884cf2	ConvertUTF16BEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-2e157559f20c8ef2c8a5527d31057710628639d8b067f35f4b5faf10eb13d281	70	ConvertValidUTF16BEToUTF32	shared_kernel_delegate	cell	cell-v1-51ee900cf229ae90e9dfef3656478ebca12ec317d925be9954d90c3d37fbd115	ConvertUTF16BEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-2e157559f20c8ef2c8a5527d31057710628639d8b067f35f4b5faf10eb13d281	70	ConvertValidUTF16BEToUTF32	shared_kernel_delegate	cell	cell-v1-8aa6d0bf1bcc383d42309a564e679f2319f527ffe63b0922e32664b107bd2b95	ConvertUTF16BEToUTF32	simd/archsimd Go 1.26.5:FC-v1-utf16-source audit row; required primitives: endian u16 loads/swaps, surrogate carry, compare/narrow, UTF-8 table/shuffle/pack, pair combine/u32 widen, counts/first-error; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-2e157559f20c8ef2c8a5527d31057710628639d8b067f35f4b5faf10eb13d281	70	ConvertValidUTF16BEToUTF32	shared_kernel_delegate	cell	cell-v1-5beb78c7953babfec492eb28a128dd44d361558d35058d1e9c3c351cfbafea23	ConvertUTF16BEToUTF32	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2706;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf16_to_utf32.cpp:1-1
v1	rk-v1-73ccb63a4f4f5783f1769e4b2aacf54aeed5d855df9ac3a7e0d8c5debb4e8315	71	UTF8LengthFromUTF16	wrapper_delegate	row	rk-v1-2471c15a00ba2a22c6879a4535bf7c1c7b8a780f4b72419f43b2a5312ed984f4	UTF8LengthFromUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:72;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2949
v1	rk-v1-73ccb63a4f4f5783f1769e4b2aacf54aeed5d855df9ac3a7e0d8c5debb4e8315	71	UTF8LengthFromUTF16	wrapper_delegate	row	rk-v1-62d83846d5622363cd309865b197ed7c178dba19cb98f13c5f723dfe041ca07c	UTF8LengthFromUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:72;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2949
v1	rk-v1-91619f77f479a3e153bc7d971c09311c6aa34c5d2078ee0bdae46b87ab6cd5f8	72	UTF8LengthFromUTF16WithReplacement	wrapper_delegate	row	rk-v1-38cc3a36b92829539b4cfb8eda21707747045198182e2a59a14d06ccf75fba7c	UTF8LengthFromUTF16BEWithReplacement	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:73;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2985
v1	rk-v1-91619f77f479a3e153bc7d971c09311c6aa34c5d2078ee0bdae46b87ab6cd5f8	72	UTF8LengthFromUTF16WithReplacement	wrapper_delegate	row	rk-v1-eea7e268e8709ceb1a21f0e7d76f6506d082a02023037485b1702b4d41308861	UTF8LengthFromUTF16LEWithReplacement	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:73;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:2985
v1	rk-v1-62d83846d5622363cd309865b197ed7c178dba19cb98f13c5f723dfe041ca07c	73	UTF8LengthFromUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:74;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3015
v1	rk-v1-2471c15a00ba2a22c6879a4535bf7c1c7b8a780f4b72419f43b2a5312ed984f4	74	UTF8LengthFromUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:75;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3044
v1	rk-v1-0681c1176fe552c46285f1de5d262fe48114044dee149c27999f1744cb87edb3	75	ConvertUTF32ToUTF8	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:76;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3077
v1	rk-v1-caddd22ebf7665dd09000fb5d83f0ac20f2bd0d16d85ff43614c62a2ab11f990	76	ConvertUTF32ToUTF8WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:77;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3114
v1	rk-v1-7c198e382676fdbded53185570c22bb2f4b866d68c085fd80bf22d7ceede13cc	77	ConvertValidUTF32ToUTF8	shared_kernel_delegate	cell	cell-v1-747ddd70ad90b8c320cbf24362fad6279b80e0fa6602b219d967c2c74f527adf	ConvertUTF32ToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3077;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf32_to_utf8.cpp:1-1
v1	rk-v1-7c198e382676fdbded53185570c22bb2f4b866d68c085fd80bf22d7ceede13cc	77	ConvertValidUTF32ToUTF8	shared_kernel_delegate	cell	cell-v1-25076a767de3debdb28258403726e72c131d6b949c99b6fca397cbee01105361	ConvertUTF32ToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3077;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf32_to_utf8.cpp:1-1
v1	rk-v1-7c198e382676fdbded53185570c22bb2f4b866d68c085fd80bf22d7ceede13cc	77	ConvertValidUTF32ToUTF8	shared_kernel_delegate	cell	cell-v1-d88650be1a0ea22403ccad4f88b404cf38bc0d99630591b012d491e00ee83a61	ConvertUTF32ToUTF8	simd/archsimd Go 1.26.5:FC-v1-utf32-source audit row; required primitives: u32 range/surrogate checks, narrow/pack, UTF-8 shuffle/table packing, UTF-16 surrogate expansion/endian stores; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-7c198e382676fdbded53185570c22bb2f4b866d68c085fd80bf22d7ceede13cc	77	ConvertValidUTF32ToUTF8	shared_kernel_delegate	cell	cell-v1-58cf5b91cdb9aff38b0808f218084ff4a19d60d66157d0fd7d042f47da418c9b	ConvertUTF32ToUTF8	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3077;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf32_to_utf8.cpp:1-1
v1	rk-v1-fb072b6418872e6605a951ce5cd05285a83eee3f43d69c726173e546dab6c52b	78	ConvertUTF32ToUTF16	wrapper_delegate	row	rk-v1-000c2aea1ba680a0cfb3c91a095e7e32e7b1368723c829cec078a9543b6e1361	ConvertUTF32ToUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:79;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3185
v1	rk-v1-fb072b6418872e6605a951ce5cd05285a83eee3f43d69c726173e546dab6c52b	78	ConvertUTF32ToUTF16	wrapper_delegate	row	rk-v1-19280a90cf388865b846f77ea465f252c5432bb1d44fe259f594cf0bd7c96bc7	ConvertUTF32ToUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:79;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3185
v1	rk-v1-000c2aea1ba680a0cfb3c91a095e7e32e7b1368723c829cec078a9543b6e1361	79	ConvertUTF32ToUTF16LE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:80;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3217
v1	rk-v1-0cae80a4d57b946ee1b2c440ed3086efb6c878c3376d693ddb4ba1c79d1ec92d	80	ConvertUTF32ToLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:81;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3252
v1	rk-v1-8d0c2a18d4cfe264820c184ed7a7ae7549a0e34da315f7f523603494ab092686	81	ConvertUTF32ToLatin1WithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:82;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3290
v1	rk-v1-9ee37182125db139b8a0854ce2c8bb674ef2ac0a18d27352b1cca4f34a17c1a3	82	ConvertValidUTF32ToLatin1	shared_kernel_delegate	cell	cell-v1-19588ff085a81ebdf41295b0d5a124539fb0f4505a99a82b49d1b0c43735d86f	ConvertUTF32ToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3252;611becc2a08c27a4edc77d9a45ff74c97130129b:src/westmere/sse_convert_utf32_to_latin1.cpp:1-1
v1	rk-v1-9ee37182125db139b8a0854ce2c8bb674ef2ac0a18d27352b1cca4f34a17c1a3	82	ConvertValidUTF32ToLatin1	shared_kernel_delegate	cell	cell-v1-830eb9fe5729985abcdbaef54d2c29cb58e5fb93ee6d6593fd31a13bb2cb800f	ConvertUTF32ToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3252;611becc2a08c27a4edc77d9a45ff74c97130129b:src/haswell/avx2_convert_utf32_to_latin1.cpp:1-1
v1	rk-v1-9ee37182125db139b8a0854ce2c8bb674ef2ac0a18d27352b1cca4f34a17c1a3	82	ConvertValidUTF32ToLatin1	shared_kernel_delegate	cell	cell-v1-8fea805f4007e03c1fb5a87e468f0ecfd96c86ad6e8e05d174b52528082dbb50	ConvertUTF32ToLatin1	simd/archsimd Go 1.26.5:FC-v1-utf32-source audit row; required primitives: u32 range/surrogate checks, narrow/pack, UTF-8 shuffle/table packing, UTF-16 surrogate expansion/endian stores; available: archsimd/ops_amd64.go:Load,Store,Shuffle,And,Or,Xor; archsimd/compare_gen_amd64.go:Equal,LessThan; archsimd/maskmerge_gen_amd64.go:Mask
v1	rk-v1-9ee37182125db139b8a0854ce2c8bb674ef2ac0a18d27352b1cca4f34a17c1a3	82	ConvertValidUTF32ToLatin1	shared_kernel_delegate	cell	cell-v1-689aed6a39bdd36fc3699ed07ce5dabe80c2138b11c577b2e17d72b764c2c644	ConvertUTF32ToLatin1	611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3252;611becc2a08c27a4edc77d9a45ff74c97130129b:src/arm64/arm_convert_utf32_to_latin1.cpp:1-1
v1	rk-v1-aa89e4df7b4cbea2e370887908bb0636c21f5e7a6e391b96bea23e86a23facae	83	Latin1LengthFromUTF32	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:84;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3367
v1	rk-v1-9e3ee2cc9f1b1dd05444e4ac32c02eff75157433df192591930274f774c1cbb5	84	UTF32LengthFromLatin1	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:85;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3380
v1	rk-v1-19280a90cf388865b846f77ea465f252c5432bb1d44fe259f594cf0bd7c96bc7	85	ConvertUTF32ToUTF16BE	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:86;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3399
v1	rk-v1-1292bee9c8813203a6fd4f61893af7174366a7145f5cb1afbfae774b93a08098	86	ConvertUTF32ToUTF16WithErrors	wrapper_delegate	row	rk-v1-38db57c0c70e39cb208b84cd0dc67f64b47615f0d7c2293e7bd2931ee2a4895c	ConvertUTF32ToUTF16BEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:87;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3435
v1	rk-v1-1292bee9c8813203a6fd4f61893af7174366a7145f5cb1afbfae774b93a08098	86	ConvertUTF32ToUTF16WithErrors	wrapper_delegate	row	rk-v1-455bbdc537f2dc700e3b68c4db67936f7b98c00a0b3993d388fefd191d951339	ConvertUTF32ToUTF16LEWithErrors	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:87;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3435
v1	rk-v1-455bbdc537f2dc700e3b68c4db67936f7b98c00a0b3993d388fefd191d951339	87	ConvertUTF32ToUTF16LEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:88;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3470
v1	rk-v1-38db57c0c70e39cb208b84cd0dc67f64b47615f0d7c2293e7bd2931ee2a4895c	88	ConvertUTF32ToUTF16BEWithErrors	none	none			docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:89;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3506
v1	rk-v1-b4331862253e9a3854477e6961a39e22eab275d2cdcc1b005d0d5c3112b32572	89	ConvertValidUTF32ToUTF16	wrapper_delegate	row	rk-v1-2d9d0f9805696f2e8c5a66ed70ebb9851a55880a7f986774b3a418dab2f3cb54	ConvertValidUTF32ToUTF16LE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:90;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3539
v1	rk-v1-b4331862253e9a3854477e6961a39e22eab275d2cdcc1b005d0d5c3112b32572	89	ConvertValidUTF32ToUTF16	wrapper_delegate	row	rk-v1-76c4359e6409326abb2364a580287202f81e8660a825855db064408027df1c14	ConvertValidUTF32ToUTF16BE	docs/porting/simdutf-port-v1/inputs/planned-rows-v1.tsv:90;611becc2a08c27a4edc77d9a45ff74c97130129b:include/simdutf/implementation.h:3539
